Day,Info
Day 1,genesis 1-3
Day 2,genesis 4-7
Day 3,genesis 8-11
Day 4,job 1-5
Day 5,job 6-9
Day 6,job 10-13
Day 7,job 14-16
Day 8,job 17-20
Day 9,job 21-23
Day 10,job 24-28
Day 11,job 29-31
Day 12,job 32-34
Day 13,job 35-37
Day 14,job 38-39
Day 15,job 40-42
Day 16,genesis 12-15
Day 17,genesis 16-18
Day 18,genesis 19-21
Day 19,genesis 22-24
Day 20,genesis 25-26
Day 21,genesis 27-29
Day 22,genesis 30-31
Day 23,genesis 32-34
Day 24,genesis 35-37
Day 25,genesis 38-40
Day 26,genesis 41-42
Day 27,genesis 43-45
Day 28,genesis 46-47
Day 29,genesis 48-50
Day 30,exodus 1-3
Day 31,exodus 4-6
Day 32,exodus 7-9
Day 33,exodus 10-12
Day 34,exodus 13-15
Day 35,exodus 16-18
Day 36,exodus 19-21
Day 37,exodus 22-24
Day 38,exodus 25-27
Day 39,exodus 28-29
Day 40,exodus 30-32
Day 41,exodus 33-35
Day 42,exodus 36-38
Day 43,exodus 39-40
Day 44,leviticus 1-4
Day 45,leviticus 5-7
Day 46,leviticus 8-10
Day 47,leviticus 11-13
Day 48,leviticus 14-15
Day 49,leviticus 16-18
Day 50,leviticus 19-21
Day 51,leviticus 22-23
Day 52,leviticus 24-25
Day 53,leviticus 26-27
Day 54,numbers 1-2
Day 55,numbers 3-4
Day 56,numbers 5-6
Day 57,numbers 7
Day 58,numbers 8-10
Day 59,numbers 11-13
Day 60,numbers 14-15; psalm 90
Day 61,numbers 16-17
Day 62,numbers 18-20
Day 63,numbers 21-22
Day 64,numbers 23-25
Day 65,numbers 26-27
Day 66,numbers 28-30
Day 67,numbers 31-32
Day 68,numbers 33-34
Day 69,numbers 35-36
Day 70,deuteronomy 1-2
Day 71,deuteronomy 3-4
Day 72,deuteronomy 5-7
Day 73,deuteronomy 8-10
Day 74,deuteronomy 11-13
Day 75,deuteronomy 14-16
Day 76,deuteronomy 17-20
Day 77,deuteronomy 21-23
Day 78,deuteronomy 24-27
Day 79,deuteronomy 28-29
Day 80,deuteronomy 30-31
Day 81,deuteronomy 32-34; psalm 91
Day 82,joshua 1-4
Day 83,joshua 5-8
Day 84,joshua 9-11
Day 85,joshua 12-15
Day 86,joshua 16-18
Day 87,joshua 19-21
Day 88,joshua 22-24
Day 89,judges 1-2
Day 90,judges 3-5
Day 91,judges 6-7
Day 92,judges 8-9
Day 93,judges 10-12
Day 94,judges 13-15
Day 95,judges 16-18
Day 96,judges 19-21
Day 97,ruth 1-4
Day 98,1 samuel 1-3
